,LST,NDVI,NDBI,LST_norm,NDVI_norm,NDBI_norm,hotspot_score,row,col,latitude,longitude
1,50.865441575000006,0.07813373953104019,0.3840544521808624,0.8898194742583652,0.2769094039969882,0.993598928673833,0.8709346471063995,1104.0,92.0,28.58192197365185,76.86726681036025
2,52.43602176500002,0.011438317596912384,0.16015584766864777,0.9544990674596184,0.21550117798978363,0.7467320858493609,0.8411688993417206,1203.0,897.0,28.5552420097135,77.08420995147512
3,52.24204913000003,0.004292396828532219,0.15280267596244812,0.9465108913678426,0.2089217411281701,0.7386246021613297,0.8375152148570849,1176.0,1030.0,28.56251836351487,77.12005273131147
4,53.229856909999995,0.10316581279039383,0.1766347438097,0.9871907660907184,0.29995709104299706,0.7649014401087887,0.8343596111560249,1077.0,179.0,28.589198327453218,76.89071283927576
5,52.90172699000004,0.16781875491142273,0.23857803642749786,0.9736777281204914,0.35948475226268434,0.8331990747279181,0.8315853879877666,1017.0,184.0,28.605368002567367,76.89206031220195
6,53.44519217000001,0.12002657353878021,0.1586771458387375,0.996058697258682,0.3154812361291909,0.745101694034173,0.8273096162749675,1220.0,124.0,28.55066060176449,76.87589063708779
7,52.847893174999996,0.10069900751113892,0.1624138504266739,0.9714607453284987,0.2976858386584801,0.7492217217860264,0.8240450630696634,1044.0,122.0,28.598091648766,76.87535164791733
8,52.79235034999999,0.08700496703386307,0.14644962549209595,0.9691733821304129,0.28507737606548667,0.7316198353592445,0.8216320906402925,1033.0,239.0,28.601056089203595,76.90688251438992
9,52.072857140000025,0.0873185247182846,0.17362459003925323,0.9395432311644433,0.285366076857728,0.7615824950919348,0.8186822179360393,956.0,379.0,28.621807172266756,76.94461175632294
10,49.51276016000003,0.04187066853046417,0.2629367709159851,0.8341133828342188,0.2435210424701949,0.8600566064730272,0.8186060223345372,984.0,1490.0,28.614261323880154,77.24402024051997
